ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
411,14,3.87,5.0,4.19
411,15,4.53,4.9,3.68
411,16,7.5,10.24,8.05
411,17,7.58,8.5,7.32
411,18,5.11,5.6,4.96
411,19,9.94,11.7,9.57
411,20,7.43,8.1,7.56
411,21,13.3,14.7,12.6
411,22,6.48,7.4,6.54
411,23,11.31,13.8,11.05
411,24,13.47,14.9,13.54
412,1,12.9,16.9,12.95
412,2,4.64,5.9,4.89
412,3,9.38,11.8,8.65
412,4,5.27,5.7,4.84
412,5,7.15,8.4,7.99
412,6,7.76,9.8,7.42
412,7,7.61,8.4,6.62
412,8,4.44,4.96,4.44
412,9,5.77,6.6,5.33
412,10,6.82,7.5,6.77
412,11,5.98,6.4,5.48
412,12,6.46,6.9,5.84
412,13,6.32,6.6,5.47
412,14,4.38,5.0,3.58
412,15,9.58,13.1,8.53
412,16,5.92,6.8,6.13
412,17,7.1,8.0,5.96
412,18,5.65,5.6,5.79
412,19,9.97,11.7,9.1
412,20,6.57,7.95,6.55
412,21,7.11,8.3,6.87
412,22,7.43,9.2,7.72
412,23,7.54,8.6,7.4
412,24,4.87,5.7,4.32
433,1,8.3,9.5,7.87
433,2,4.13,5.9,3.74
433,3,7.84,9.4,7.93
433,4,7.9,8.9,7.97
433,5,3.62,4.2,4.01
433,6,9.28,11.4,9.25
433,7,8.08,8.4,7.06
433,8,14.19,15.2,14.37
433,9,5.65,6.6,5.22
433,10,9.86,11.5,10.17
433,11,14.59,16.6,14.75
433,12,7.36,7.5,6.99
433,13,7.97,8.8,8.01
433,14,14.54,15.8,15.01
433,15,3.44,4.9,3.02
433,16,5.93,6.8,5.93
433,17,7.69,8.5,7.25
433,18,8.42,9.8,8.61
433,19,8.04,9.5,6.9
433,20,5.66,6.7,6.0
433,21,7.1,8.3,6.95
433,22,10.83,13.2,10.65
433,23,7.07,8.6,7.33
433,24,4.43,5.7,4.82
435,1,12.75,15.3,12.45
435,2,27.95,33.35,28.2
435,3,12.4,13.6,11.69
435,4,7.96,8.9,8.01
435,5,7.46,8.4,7.82
435,6,29.33,38.34,35.01
435,7,10.78,12.4,10.87
435,8,4.77,5.6,4.94
435,9,15.18,18.25,15.36
435,10,12.98,16.61,13.25
435,11,14.12,16.6,14.33
435,12,18.36,17.3,16.22
435,13,12.17,14.2,12.26
435,14,11.79,13.8,12.17
435,15,23.59,26.1,22.46
435,16,5.97,8.8,7.02
435,17,13.56,16.9,12.18
435,18,7.92,9.8,8.34
435,19,6.64,7.1,5.18
435,20,15.14,17.9,15.49
435,21,6.93,8.3,7.19
435,22,6.23,7.4,6.24
435,23,15.47,17.0,15.34
435,24,14.97,17.3,15.27
436,1,10.32,11.3,9.64
436,2,6.37,5.9,5.6
436,3,18.67,21.58,21.32
436,4,7.75,7.1,6.45
436,5,8.13,8.4,7.58
436,6,13.44,15.8,15.61
436,7,10.06,8.4,8.02
436,8,5.32,5.6,4.65
436,9,5.52,6.6,4.99
436,10,7.78,7.5,6.44
436,11,6.85,6.4,5.94
436,12,17.33,17.5,15.9
436,13,15.03,14.8,11.76
