SubjectNum,TrialNum,Time,X,Z
446,19,251.98,1.761655,-2.012027
446,19,252.2022,1.75963,-2.014901
446,19,252.4245,1.75917,-2.015352
446,19,252.6467,1.759741,-2.019134
446,19,252.8689,1.755662,-2.030534
446,19,253.0911,1.744973,-2.047495
446,19,253.3133,1.730256,-2.060953
446,19,253.5356,1.722638,-2.065896
446,19,253.7578,1.724279,-2.069252
446,19,253.98,1.726835,-2.070354
446,19,254.2022,1.729192,-2.070408
446,19,254.4245,1.733719,-2.068425
446,19,254.6467,1.731966,-2.067302
446,19,254.8689,1.729504,-2.065071
446,19,255.0911,1.729273,-2.062451
446,19,255.3133,1.773073,-2.018521
446,19,255.5356,1.771215,-2.019186
446,19,255.7578,1.769662,-2.017446
446,19,255.98,1.770108,-2.017748
446,19,256.2022,1.759017,-2.019741
446,19,256.4244,1.760918,-2.008796
446,19,256.6467,1.770887,-2.012028
446,19,256.8689,1.753798,-2.040885
446,19,257.0911,1.723134,-2.088325
446,19,257.3134,1.679227,-2.125803
446,19,257.5356,1.641693,-2.141303
446,19,257.7578,1.639227,-2.146823
446,19,257.98,1.676856,-2.150052
446,19,258.2022,1.694627,-2.167589
446,19,258.4244,1.692082,-2.17173
446,19,258.6467,1.70026,-2.164272
446,19,258.8689,1.706302,-2.162141
446,19,259.0911,1.704319,-2.163822
446,19,259.3134,1.701848,-2.159325
446,19,259.5356,1.701097,-2.150698
446,19,259.7578,1.700615,-2.14551
446,19,259.98,1.698727,-2.142889
446,19,260.2022,1.694689,-2.142087
446,19,260.4244,1.689036,-2.140314
446,19,260.6467,1.683854,-2.140258
446,19,260.8689,1.676018,-2.145105
446,19,261.0911,1.664194,-2.154315
446,19,261.3134,1.655412,-2.162089
446,19,261.5356,1.669617,-2.176283
446,19,261.7578,1.699605,-2.191082
446,19,261.98,1.726747,-2.210037
446,19,262.2022,1.744042,-2.221157
446,19,262.4244,1.754423,-2.22935
446,19,262.6467,1.764778,-2.239573
446,19,262.8689,1.776061,-2.252973
446,19,263.0911,1.787119,-2.275555
446,19,263.3134,1.793463,-2.298265
446,19,263.5356,1.799445,-2.321878
446,19,263.7578,1.789605,-2.360292
446,19,263.98,1.740075,-2.437672
446,19,264.2022,1.637823,-2.55507
446,19,264.4244,1.537957,-2.657647
446,19,264.6467,1.445452,-2.734385
446,19,264.8689,1.341028,-2.816666
446,19,265.0911,1.21649,-2.892494
446,19,265.3134,1.063591,-2.924953
446,19,265.5356,0.8518534,-2.92707
446,19,265.7578,0.6078348,-2.913005
446,19,265.98,0.3553527,-2.916068
446,19,266.2022,0.1038407,-2.934424
446,19,266.4244,-0.1254637,-2.923378
446,19,266.6467,-0.3375199,-2.882773
446,19,266.8689,-0.5409902,-2.843634
446,19,267.0911,-0.7324114,-2.846688
446,19,267.3134,-0.909176,-2.883646
446,19,267.5356,-1.067827,-2.914757
446,19,267.7578,-1.174215,-2.926944
446,19,267.98,-1.231192,-2.920765
446,19,268.2022,-1.226973,-2.902195
446,19,268.4244,-1.151117,-2.855894
446,19,268.6467,-1.092353,-2.819815
446,19,268.8689,-1.057008,-2.77847
446,19,269.0911,-1.030738,-2.726052
446,19,269.3134,-1.008594,-2.676227
446,19,269.5356,-0.9880533,-2.630106
446,19,269.7578,-0.9823432,-2.603722
446,19,269.98,-0.9900208,-2.603052
446,19,270.2022,-0.9978412,-2.610099
446,19,270.4244,-1.000093,-2.605472
446,19,270.6467,-0.9950137,-2.576108
446,19,270.8689,-0.98137,-2.531455
446,19,271.0911,-0.9651756,-2.490504
446,19,271.3134,-0.9445248,-2.451759
446,19,271.5356,-0.9258611,-2.402362
446,19,271.7578,-0.9086319,-2.321279
446,19,271.98,-0.9034202,-2.197714
446,19,272.2022,-0.9135491,-2.036888
446,19,272.4244,-0.8988922,-1.880333
446,19,272.6467,-0.8565239,-1.728736
446,19,272.8689,-0.7804296,-1.566245
446,19,273.0911,-0.7793644,-1.425562
446,19,273.3134,-0.7668368,-1.341571
446,19,273.5356,-0.8227972,-1.283097
446,19,273.7578,-0.9112592,-1.229744
446,19,273.98,-0.9982709,-1.165393
446,19,274.2022,-1.097786,-1.066972
446,19,274.4244,-1.241875,-0.9660673
446,19,274.6467,-1.452152,-0.9171747
446,19,274.8689,-1.686962,-0.9074783
446,19,275.0911,-1.900463,-0.8685215
446,19,275.3134,-2.09304,-0.7924702
446,19,275.5356,-2.249772,-0.6760856
446,19,275.7578,-2.348008,-0.5378932
446,19,275.98,-2.449735,-0.37606
446,19,276.2022,-2.5177,-0.1759824
446,8,325.6578,-2.640221,-2.061301
446,8,325.88,-2.624,-2.034831
446,8,326.1022,-2.608406,-2.014669
446,8,326.3245,-2.604088,-2.010466
446,8,326.5467,-2.607194,-2.017042
446,8,326.7689,-2.61098,-2.026518
446,8,326.9911,-2.613662,-2.027966
446,8,327.2133,-2.611821,-2.024163
446,8,327.4356,-2.6096,-2.019859
446,8,327.6578,-2.608483,-2.016423
446,8,327.88,-2.608019,-2.013928
446,8,328.1022,-2.607359,-2.009225
446,8,328.3245,-2.607776,-1.990371
446,8,328.5467,-2.601448,-1.969312
446,8,328.7689,-2.572042,-1.937302
446,8,328.9911,-2.502009,-1.909896
446,8,329.2133,-2.452915,-1.894045
446,8,329.4356,-2.434981,-1.896596
446,8,329.6578,-2.453449,-1.902486
446,8,329.88,-2.494483,-1.898435
446,8,330.1022,-2.533878,-1.863081
446,8,330.3245,-2.550199,-1.83906
446,8,330.5467,-2.5451,-1.821271
446,8,330.7689,-2.537534,-1.811477
446,8,330.9911,-2.525822,-1.818787
446,8,331.2133,-2.514539,-1.845173
446,8,331.4356,-2.517052,-1.866831
446,8,331.6578,-2.504319,-1.887846
446,8,331.88,-2.498178,-1.940346
446,8,332.1022,-2.506001,-2.04672
446,8,332.3245,-2.506666,-2.161886
446,8,332.5467,-2.513723,-2.258953
446,8,332.7689,-2.520633,-2.361073
446,8,332.9911,-2.498426,-2.434294
446,8,333.2133,-2.461137,-2.501504
446,8,333.4356,-2.394346,-2.596776
446,8,333.6578,-2.29336,-2.69047
446,8,333.88,-2.201089,-2.746835
446,8,334.1022,-2.100418,-2.80395
446,8,334.3245,-1.986176,-2.8916
446,8,334.5467,-1.854614,-2.943825
446,8,334.7689,-1.71727,-2.954875
446,8,334.9911,-1.57029,-2.919522
446,8,335.2133,-1.422108,-2.889736
446,8,335.4356,-1.280952,-2.873705
446,8,335.6578,-1.157072,-2.842589
446,8,335.88,-1.067129,-2.750397
446,8,336.1022,-1.003932,-2.591234
446,8,336.3245,-0.9600735,-2.38713
446,8,336.5467,-0.9122274,-2.177299
446,8,336.7689,-0.8429196,-1.965503
446,8,336.9911,-0.7708712,-1.766182
446,8,337.2133,-0.697078,-1.572145
446,8,337.4356,-0.6039742,-1.373885
446,8,337.6578,-0.4844838,-1.239598
446,8,337.88,-0.3095952,-1.161663
446,8,338.1022,-0.06149654,-1.13553
446,8,338.3245,0.1906871,-1.094725
446,8,338.5467,0.4492612,-1.039662
446,8,338.7689,0.6884968,-1.028475
446,8,338.9911,0.9236951,-1.050074
446,8,339.2133,1.145342,-1.080256
446,8,339.4356,1.326951,-1.095154
446,8,339.6578,1.487971,-1.106202
446,12,382.1022,2.600631,1.094674
446,12,382.3245,2.577678,1.069629
446,12,382.5467,2.547458,1.047361
446,12,382.7689,2.540276,1.039753
446,12,382.9911,2.542743,1.043078
446,12,383.2133,2.544657,1.046831
446,12,383.4356,2.549032,1.046931
446,12,383.6578,2.552279,1.042641
446,12,383.88,2.550759,1.037392
446,12,384.1022,2.545785,1.032441
446,12,384.3245,2.539859,1.028953
446,12,384.5467,2.536799,1.025306
446,12,384.7689,2.537648,1.000146
446,12,384.9911,2.516135,0.9488251
446,12,385.2133,2.480244,0.9092999
446,12,385.4356,2.453562,0.8556803
446,12,385.6578,2.452511,0.7908498
446,12,385.88,2.474361,0.7139832
446,12,386.1022,2.525544,0.5984657
446,12,386.3245,2.592648,0.4554283
446,12,386.5467,2.623084,0.2907442
446,12,386.7689,2.607978,0.1070498
446,12,386.9911,2.57124,-0.07842666
446,12,387.2133,2.546377,-0.2355086
446,12,387.4356,2.533411,-0.3881367
446,12,387.6578,2.497836,-0.5260071
446,12,387.88,2.424453,-0.63134
446,12,388.1022,2.288723,-0.7155883
446,12,388.3245,2.125623,-0.7851289
446,12,388.5467,1.951094,-0.8365266
446,12,388.7689,1.744311,-0.8969986
446,12,388.9911,1.527094,-0.9315974
446,12,389.2133,1.306182,-0.934379
446,12,389.4356,1.081249,-0.9080349
446,12,389.6578,0.8670943,-0.9052691
446,12,389.88,0.6481316,-0.9296216
446,12,390.1022,0.4305639,-0.9750255
446,12,390.3245,0.2313094,-0.9987727
446,12,390.5467,0.01584393,-0.9860901
446,12,390.7689,-0.1990323,-0.9954966
446,12,390.9911,-0.4194497,-1.018557
446,12,391.2133,-0.6439085,-1.045499
446,12,391.4356,-0.8551284,-1.047112
446,12,391.6578,-1.066985,-1.011838
446,12,391.88,-1.278175,-1.009638
446,12,392.1022,-1.474627,-1.031934
446,12,392.3245,-1.66937,-1.0655
446,12,392.5467,-1.853974,-1.084701
446,12,392.7689,-2.05035,-1.094952
446,12,392.9911,-2.238763,-1.167551
446,12,393.2133,-2.378101,-1.302637
446,12,393.4356,-2.483147,-1.481542
446,12,393.6578,-2.563798,-1.690595
446,12,393.88,-2.656019,-1.937283
446,12,394.1022,-2.6617,-2.189306
446,12,394.3245,-2.602759,-2.397548
