ParticipantID,Order,TrialNumber,StartingObject,TargetObject,Status,Time
429,16,7,Plant,Trashcan,Success,15.491
429,17,21,Mailbox,,Failure,30
429,18,17,Harp,Stove,Success,17.23656
429,19,13,Telescope,Well,Success,11.12826
429,20,5,Table,Bookshelf,Success,9.589947
429,21,2,Stove,Wheelbarrow,Success,19.81083
429,22,4,Piano,Harp,Success,15.95443
429,23,8,Plant,Harp,Success,11.49542
429,24,14,Telescope,Wheelbarrow,Success,9.861408
430,1,11,Trashcan,Trashcan,Failure,6.152447
430,2,7,Plant,Trashcan,Success,17.45824
430,3,18,Harp,Telescope,Success,11.57952
430,4,22,Mailbox,Bookshelf,Success,15.27813
430,5,17,Harp,Stove,Success,13.75523
430,6,1,Stove,Well,Success,13.03618
430,7,5,Table,Bookshelf,Success,10.55488
430,8,15,Wheelbarrow,Mailbox,Success,8.429264
430,9,4,Piano,Harp,Success,11.33411
430,10,24,Chair,Trashcan,Success,11.78998
430,11,21,Mailbox,Trashcan,Success,11.64439
430,12,9,Bookshelf,Stove,Success,14.90203
430,13,16,Wheelbarrow,Plant,Success,9.961641
430,14,20,Well,Piano,Success,9.295849
430,15,2,Stove,Wheelbarrow,Success,18.0417
430,16,12,Trashcan,Table,Success,18.6585
430,17,23,Chair,Piano,Success,8.961266
430,18,8,Plant,Harp,Success,8.229475
430,19,19,Well,Table,Success,12.32468
430,20,6,Table,Chair,Success,13.74958
430,21,14,Telescope,Wheelbarrow,Success,11.3671
430,22,10,Bookshelf,Plant,Success,11.38391
430,23,3,Piano,Mailbox,Success,15.92524
