TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
21,24,-136.3191,-125.6807,-10.63839999999999, Trashcan, Chair,4.737183,439,10.63839999999999
22,1,131.0033,139.8627,-8.859399999999994, Well, Stove,10.50861,402,8.859399999999994
18,2,-53.90902,-49.85279,-4.056229999999999, Wheelbarrow, Stove,5.170776,402,4.056229999999999
21,3,-134.4974,-36.09407,-98.40333, Mailbox, Piano,32.12604,402,98.40333
17,4,13.37996,-2.913495,16.293455, Harp, Piano,15.36243,402,16.293455
24,5,163.8812,-121.5305,285.4117, Bookshelf, Table,11.47565,402,74.5883
6,6,29.22806,24.73069,4.49737, Chair, Table,15.59671,402,4.49737
4,7,-146.517,-156.2066,9.689600000000013, Trashcan, Plant,6.171875,402,9.689600000000013
3,8,118.8196,108.8188,10.000799999999998, Harp, Plant,17.66467,402,10.000799999999998
20,9,126.8981,151.2295,-24.3314, Stove, Bookshelf,5.304749,402,24.3314
19,10,-137.0,-155.7204,18.72040000000001, Plant, Bookshelf,5.838257,402,18.72040000000001
8,11,8.254761,10.1685,-1.913739, Telescope, Trashcan,16.73041,402,1.913739
7,12,-29.28574,-13.0517,-16.23404, Table, Trashcan,5.704285,402,16.23404
5,13,136.2668,156.9717,-20.70490000000001, Well, Telescope,18.44806,402,20.70490000000001
16,14,12.5739,0.0,12.5739, Wheelbarrow, Telescope,12.09348,402,12.5739
12,15,-35.24757,-20.9935,-14.254070000000002, Mailbox, Wheelbarrow,6.005127,402,14.254070000000002
23,16,-131.9335,-141.7693,9.835799999999978, Plant, Wheelbarrow,8.140625,402,9.835799999999978
14,17,122.3536,146.6573,-24.303699999999992, Stove, Harp,10.00833,402,24.303699999999992
15,18,-41.33962,-4.299151,-37.040469, Telescope, Harp,7.105804,402,37.040469
13,19,-48.95424,-47.17128,-1.7829599999999957, Table, Well,9.590912,402,1.7829599999999957
1,20,21.48783,8.961795,12.526034999999998, Piano, Well,13.61142,402,12.526034999999998
10,21,-168.3985,-146.2155,-22.18300000000002, Trashcan, Mailbox,15.49628,402,22.18300000000002
2,22,-35.31121,-51.54441,16.233199999999997, Bookshelf, Mailbox,19.58252,402,16.233199999999997
9,23,-17.86012,-10.49368,-7.366439999999999, Piano, Chair,7.339355,402,7.366439999999999
11,24,-128.9623,-125.6807,-3.2815999999999974, Trashcan, Chair,7.672913,402,3.2815999999999974
23,1,141.8212,139.8627,1.958500000000015, Well, Stove,12.94385,403,1.958500000000015
9,2,-50.73338,-49.85279,-0.880589999999998, Wheelbarrow, Stove,7.77301,403,0.880589999999998
17,3,-23.5104,-36.09407,12.58367, Mailbox, Piano,13.64465,403,12.58367
24,4,2.560326,-2.913495,5.473821, Harp, Piano,16.61371,403,5.473821
10,5,-76.74628,-121.5305,44.784220000000005, Bookshelf, Table,16.9137,403,44.784220000000005
22,6,11.52374,24.73069,-13.20695, Chair, Table,18.38184,403,13.20695
13,7,-148.7508,-156.2066,7.455800000000011, Trashcan, Plant,12.15991,403,7.455800000000011
16,8,112.2205,108.8188,3.4017000000000053, Harp, Plant,13.91138,403,3.4017000000000053
6,9,120.9638,151.2295,-30.265699999999995, Stove, Bookshelf,17.49756,403,30.265699999999995
