Subject,Age,Gender,AllowedTime,Order,Center,Top,Target,TargetAngle,EstimateAngle,AngularError,DSP_Trial,targetAngle
624,18,female,60,27,You,trashcan,well,99.0,33.0,66.0,dsp1_18,99.64530212
625,20,female,60,5,You,trashcan,well,99.0,248.0,149.0,dsp1_18,99.64530212
626,18,male,60,22,You,trashcan,well,99.0,130.0,31.0,dsp1_18,99.64530212
627,19,male,60,17,You,trashcan,well,99.0,175.0,76.0,dsp1_18,99.64530212
628,18,female,60,12,You,trashcan,well,99.0,155.0,56.0,dsp1_18,99.64530212
629,20,male,60,1,You,trashcan,well,99.0,96.0,3.0,dsp1_18,99.64530212
630,19,female,60,27,You,trashcan,well,99.0,109.0,10.0,dsp1_18,99.64530212
631,21,female,60,20,You,trashcan,well,99.0,318.0,141.0,dsp1_18,99.64530212
632,18,female,60,17,You,trashcan,well,99.0,123.0,24.0,dsp1_18,99.64530212
633,19,female,60,24,You,trashcan,well,99.0,253.0,154.0,dsp1_18,99.64530212
634,18,female,60,15,You,trashcan,well,99.0,52.0,47.0,dsp1_18,99.64530212
635,18,male,60,25,You,trashcan,well,99.0,202.0,103.0,dsp1_18,99.64530212
636,19,female,60,17,You,trashcan,well,99.0,118.0,19.0,dsp1_18,99.64530212
637,18,male,60,14,You,trashcan,well,99.0,91.0,8.0,dsp1_18,99.64530212
638,20,female,60,22,You,trashcan,well,99.0,26.0,73.0,dsp1_18,99.64530212
639,18,female,60,10,You,trashcan,well,99.0,96.0,3.0,dsp1_18,99.64530212
641,18,male,60,20,You,trashcan,well,99.0,71.0,28.0,dsp1_18,99.64530212
642,19,female,60,23,You,trashcan,well,99.0,124.0,25.0,dsp1_18,99.64530212
643,18,female,60,24,You,trashcan,well,99.0,80.0,19.0,dsp1_18,99.64530212
645,18,male,60,20,You,trashcan,well,99.0,245.0,146.0,dsp1_18,99.64530212
646,18,male,60,16,You,trashcan,well,99.0,84.0,15.0,dsp1_18,99.64530212
647,19,female,60,13,You,trashcan,well,99.0,56.0,43.0,dsp1_18,99.64530212
648,18,female,60,24,You,trashcan,well,99.0,95.0,4.0,dsp1_18,99.64530212
649,20,female,60,21,You,trashcan,well,99.0,231.0,132.0,dsp1_18,99.64530212
650,19,female,60,10,You,trashcan,well,99.0,230.0,131.0,dsp1_18,99.64530212
651,19,female,60,14,You,trashcan,well,99.0,136.0,37.0,dsp1_18,99.64530212
653,20,female,60,15,You,trashcan,well,99.0,232.0,133.0,dsp1_18,99.64530212
656,18,female,60,7,You,trashcan,well,99.0,246.0,147.0,dsp1_18,99.64530212
657,19,female,60,24,You,trashcan,well,99.0,107.0,8.0,dsp1_18,99.64530212
658,19,female,60,9,You,trashcan,well,99.0,126.0,27.0,dsp1_18,99.64530212
660,19,male,60,18,You,trashcan,well,99.0,35.0,64.0,dsp1_18,99.64530212
662,18,female,60,10,You,trashcan,well,99.0,130.0,31.0,dsp1_18,99.64530212
663,18,female,60,8,You,trashcan,well,99.0,47.0,52.0,dsp1_18,99.64530212
664,18,female,60,13,You,trashcan,well,99.0,37.0,62.0,dsp1_18,99.64530212
665,18,female,60,19,You,trashcan,well,99.0,105.0,6.0,dsp1_18,99.64530212
666,18,male,60,1,You,trashcan,well,99.0,90.0,9.0,dsp1_18,99.64530212
667,19,male,60,10,You,trashcan,well,99.0,305.0,154.0,dsp1_18,99.64530212
668,19,male,60,15,You,trashcan,well,99.0,163.0,64.0,dsp1_18,99.64530212
669,18,male,60,22,You,trashcan,well,99.0,90.0,9.0,dsp1_18,99.64530212
670,19,male,60,18,You,trashcan,well,99.0,142.0,43.0,dsp1_18,99.64530212
640,18,female,60,16,You,trashcan,well,99.0,45.0,54.0,dsp1_18,99.64530212
604,20,male,60,4,You,piano,harp,0.0,5.0,5.0,dsp1_16,0.09802519
605,18,male,60,22,You,piano,harp,0.0,1.0,1.0,dsp1_16,0.09802519
606,20,male,60,26,You,piano,harp,0.0,148.0,148.0,dsp1_16,0.09802519
607,20,female,60,14,You,piano,harp,0.0,219.0,141.0,dsp1_16,0.09802519
608,21,male,60,6,You,piano,harp,0.0,124.0,124.0,dsp1_16,0.09802519
609,18,male,60,17,You,piano,harp,0.0,0.0,0.0,dsp1_16,0.09802519
